token, -3word, -2word, -1word, +1word, +2word, +3word, Class
activ, agricultur, refer, human, speci, ant, termit, Agriculture
activ, employ, agricultur, primari, fish, develop, countri, Agriculture
activ, ill, relat, agricultur, unreport,  ,  , Agriculture
activ, mechan, typic, involv, human, manag, role, Agriculture
activ,  , fnsea, polit, franc, pertain, genet, Agriculture
activ, includ, entir, rang, disciplin, encompass, modern, Agriculture
activ, primarili, agricultur, oper, bring, visitor, farm, Agriculture
activ,  , harvest, laborintens, grow, season, util, Agriculture
activ, pack, process, handl, crop, market,  , Agriculture
activ,  ,  ,  , occur, agricultur, product, Agriculture
activ,  , mesoamerica, aztec, farmer, agricultur, focus, Agriculture
activ, cascad, signal, molecul, transcript, factor, regul, Agriculture
activ, consid, unsuit, agricultur, tradit, method,  , Agriculture
activ, restor, balanc, human, natur,  ,  , Agriculture
activ, numer, govern, relat, see, method, govern, Agriculture
activ,  , person, charg, relat, kitchen, includ, Cooking
activ, chocol, correspond, increas, expend, associ, calori, Cooking
activ, child, labor, agricultur, includ, cocoa, farm, Cooking
activ, food, heat, fire, uniqu, human,  , Cooking
activ, molecular, gastronomi, scientif, introduc, late, oxford, Cooking
activ, steadi, lesshazard, volcan, lava, cook, invent, Cooking
activ, bear, countri, cook, food, storag, attract, Cooking
activ, indigen, import, histori, extens,  ,  , Crafting
activ, industri, facil, associ, life,  ,  , Construction
activ, structur, integr, design, enforc, financi, construct, Construction
activ, project, manag, provid, role, manag, separ, Construction
activ, concurr, stage, onsit, exampl, build, foundat, Construction
activ, time, requir, execut, task,  ,  , Construction
activ,  , level, econom, homeconstruct, section, report, Construction
activ, guest, privaci, sexual, typic, hour, overnight, Hospitality
activ, food, drink, sport, entertain, fix, price, Hospitality
activ,  , offer, sport, includ, price,  , Hospitality
activ, servic, physic, fit, healthi, diet, program, Hospitality
activ, vacat, major, local, sometim, call, resort, Hospitality
activ, tourism, limit, holiday, peopl, travel, stay, Hospitality
activ, outsid, normal, live, stay, destin,  , Hospitality
activ, defin, tourism, particular, chosen, undertaken, outsid, Hospitality
activ, attract, facil, servic, specif, center, repres, Hospitality
activ, tourism, recogn, import, essenti, life, nation, Hospitality
activ, focu, tour, leisur, includ, visit, countri, Hospitality
activ, tourism, tourism, relat, particip, travel, cultur, Hospitality
activ, authent, experi, promot, understand, specif, cultur, Hospitality
activ, opportun, workshop, class, relat, cultur, destin, Hospitality
activ, cultur, tourism, draw, particip, travel, cultur, Hospitality
activ, consequ, relat, tourism, greenhous, ga, emiss, Hospitality
addit,  ,  ,  , incid, death, injuri, Agriculture
addit, servic, method, provid, incent, encourag, farmer, Agriculture
addit,  ,  ,  , agricultur, practic, tillag, Agriculture
addit,  ,  ,  , increas, runoff, result, Agriculture
addit, organ, agricultur, requir, land, clear, water, Agriculture
addit,  ,  ,  , dietari, supplement, ad, Agriculture
addit,  ,  ,  , scale, farmbot, reprap, Agriculture
addit, energi, resourc, provid, worker, ratio, peopl, Agriculture
addit, machineri, charg, acr, charg, yield,  , Agriculture
addit, time, degrad, pastur, crop, product, maiz, Agriculture
addit, varieti, fold, respond, irrig, pesticid, fertil, Agriculture
addit,  , induc, polyploidi, remov, chromosom, use, Agriculture
addit, fish, rice, produc, product, reduc, eutroph, Agriculture
addit,  ,  ,  , bread, bake, prepar, Cooking
addit, compens, use, food, imagin, label,  , Cooking
addit, pork, pork, fat, pork, liver, garnish, Cooking
addit, result, textur, come, egg, cream, forcemeat, Cooking
addit,  ,  ,  , anim, stomach, bladder, Cooking
addit, chocol, sweet, chocol, contain, milk, powder, Cooking
addit, chocol, ceremoni, purpos, everyday, life,  , Cooking
addit, season, broad, varieti, includ, petal, cymbopetalum, Cooking
addit, american, introduct, popular, pepper, spice, sometim, Cooking
addit,  , milk, sometim, chocol, beverag, midth, Cooking
addit, oil, cocoa, butter, use, artifici, sweeten, Cooking
addit,  ,  ,  , chocol, frequent, store, Cooking
addit,  , thicken, break, heat,  ,  , Cooking
addit, food, provid, custom, servic,  ,  , Cooking
addit,  ,  ,  , cook, cup, coffe, Cooking
addit, improv, reproduc, includ, instruct, measur, correct, Cooking
addit,  ,  ,  , climat, influenc, food, Cooking
addit, european, cuisin, adapt, local, nativ, ingredi, Cooking
addit,  ,  ,  , methanol, poison, render, Cooking
addit, manger, staff, perform, duti, creat, decor, Cooking
addit, meat, fish, veget, combin, salt, nitrat, Cooking
addit,  ,  ,  , method, describ, farther, Cooking
addit, advanc, method, requir, equip, techniqu,  , Cooking
addit, coal, keyhol, fire, coal, place, top, Cooking
