Word,Example
allows steel,The presence of carbon allows steel to assume one of several different crystalline configurations.
anvil,"The anvil serves as a workbench to the blacksmith, where the metal to be forged is placed."
anvil bases,"When concrete became widely available, there was a trend to make steel reinforced anvil bases by some smiths, though this practice has largely been abandoned."
anvils sometimes marked,European anvils are sometimes marked in kilograms.
anvils specifically,"For example, there were anvils specifically made for farriers, general smiths, cutlers, chain makers, armorers, saw tuners, coach makers, coopers, and many other types of metal workers."
blacksmith,"The common blacksmith's anvil is made of either forged or cast steel, forged wrought iron with a hard steel face or cast iron with a hard steel face."
blacksmith called,"The place where a blacksmith works is called variously a smithy, a forge or a blacksmith's shop."
blacksmith using,A blacksmith is using a hammer and anvil to shape the steel.
blacksmithing practice,This extreme temperature range of variable solidity is the fundamental material property upon which blacksmithing practice depends.
blacksmithing worlds coal,"Coal can be an inferior fuel for blacksmithing, because much of the world's coal is contaminated with sulfur."
blacksmiths employ,Some modern blacksmiths may also employ an oxyacetylene or similar blowtorch for more localized heating.
blacksmiths traditionally,Modern blacksmiths generally substitute mild steel for making objects traditionally of wrought iron.
century forged,"In the final part of the 18th century, forged ironwork continued to decline due to the aforementioned industrial revolution."
coal industrial,"A forge typically uses bituminous coal, industrial coke or charcoal as the fuel to heat metal."
common blacksmiths,"The common blacksmith's anvil is made of either forged or cast steel, forged wrought iron with a hard steel face or cast iron with a hard steel face."
common methods attaching,"Common methods of attaching an anvil are spikes, chains, steel or iron straps, clips, bolts where there are holes provided, and cables."
designs originated,Such designs have originated in diverse geographic locations.
example anvils,"For example, there were anvils specifically made for farriers."
forge fire coals,"A large pair of double bellows pours a strong stream of air to the centre of the forge, where he has a fire made of small coals, or coal dust, wetted, to make them give a more intense heat."
forge typically propane,A gas forge typically uses propane or natural gas as the fuel.
forged designs,Cast iron elements are incorporated into the forged designs.
forge fires charcoal,The original fuel for forge fires was charcoal.
forging operations,"A blacksmith's striker is an assistant whose job is to swing a large sledgehammer in heavy forging operations, as directed by the blacksmith."
forging process,The five basic forging processes are often combined to produce and refine the shapes necessary for finished products.
forming techniques blacksmith,The techniques used to make armor today are an amalgam of silversmith forming techniques and blacksmith iron-handling techniques.
hammer,Shaping metal with a hammer (forging) is the archetypical component of smithing.
hammers tools,"Typical duties of a youth in the copper shop would include tasks such as breaking coke or sal ammoniac blocks, scouring copper pieces to prepare them for tinning, and polishing hammers and tools."
heating metals,"A forge is a type of hearth used for heating metals, or the workplace (smithy) where such a hearth is located."
hot metal,"The smaller hole is called the pritchel hole, used as a bolster when punching holes in hot metal."
individual smiths,"Individual smiths and specialized applications have fostered the development of a variety of forges of this type, from the coal forge."
iron,"Traditionally hearths have been constructed of mud-brick, fired brick, stone, or later, constructed of iron."
iron materials,"Steel anvils are used for tuning for use as musical instruments, because those based partly on cast iron and similar materials give a duller sound"
iron naturally,Iron is a naturally occurring metallic element.
iron production,They seem to have maintained a near monopoly on the knowledge of iron production for several hundred years.
iron provide,Close examination of blacksmith-made antique tools clearly shows where small pieces of steel were forge-welded into iron to provide the hardened steel cutting edges of tools.
iron varieties,"Wrought-iron, low-carbon-steel, and other soft unhardenable iron varieties are referred to indiscriminately as just iron."
ironwork referred,"Main features of Neoclassicism ironwork, also referred to as Louis XVI style and Empire style ironwork, include smooth straight bars and decorative geometric elements."
locksmith skill,"In the UK, there is no current government regulation for locksmithing, so effectively anyone can trade and operate as a locksmith with no skill or knowledge of the industry."
medieval period blacksmithing,"In the medieval period, blacksmithing was considered part of the set of seven mechanical arts."
metal,"Hence, cast iron is a brittle metal, which can break like glass."
metal cause cracks,"Also, sharp edges tend to cut into the metal being worked and may cause cracks to form in the workpiece."
metal found,"Due to the quality of metal found in Japan, Japanese bladesmithing became an extremely rigid, precise process, involving folding and forge-welding the steel many times."
metal temperature,"When the end of the wire sticks on to the metal, it is at the right temperature."
metal type,"However, depending on the metal type, it may require an oil quench or a salt brine instead."
metal workers,"However, anvils are still used by blacksmiths and metal workers of all kinds in producing custom work."
metals create,"Depending on the metals used to create the alloy, the color can change."
metals including,"Metalsmith, often refers to artisans and craftpersons who practice their craft in many different metals, including gold, copper and silver."
metals require,Many metals require more than plain water hardening.
modern blacksmiths,Some modern blacksmiths who produce decorative metalwork refer to themselves as artist-blacksmiths.
modern times anvils,"In more modern times many anvils have been placed upon bases fabricated from steel, often a short thick section of a large I-Beam."
quality steel,Inexpensive anvils have been made of cast iron and low quality steel.
shape,The basic process involved forge-welding billets of wrought iron together to produce the desired shape.
skill level,Techniques developed by some of those goldsmiths achieved a skill level that was lost and remained beyond the skills of those who followed.
smith,"The smith first cleans parts to be joined with a wire brush, then puts them in the fire to heat."
speciality blacksmithing,"Whitesmithing developed as a speciality of blacksmithing in the 1700s, when extra time was given to filing and polishing certain products."
steel,"A whitesmith is a metalworker who does finishing work on iron and steel such as filing, lathing, burnishing or polishing."
steel cutting,Close examination of blacksmith-made antique tools clearly shows where small pieces of steel were forge-welded into iron to provide the hardened steel cutting edges of tools.
steel developed,This is similar to the process by which a case of steel is developed on a piece of iron in preparation for case hardening.
steel effective,This can leave a piece of steel with an effective layer of unhardenable iron on its surface.
steel formed,Small amounts of steel are often formed during several of the earliest refining practices.
steel produced,"At this time, the processes for making steel produced an extremely variable productquality was not ensured at the initial point of sale."
steel various processes,"Macroscopically, this is seen as the ability to ""turn the hardness of a piece of steel on and off"" through various processes of heat-treatment."
trades jeweler,"Although jewelers also work in silver and gold, and many of the techniques for working precious metals overlap, the trades of jeweler and Silversmith have distinct histories."
